"Date","Tweets published","impressions","engagements","engagement rate","retweets","replies","likes","user profile clicks","url clicks","hashtag clicks","detail expands","permalink clicks","app opens","app installs","follows","email tweet","dial phone","media views","media engagements","promoted impressions","promoted engagements","promoted engagement rate","promoted retweets","promoted replies","promoted likes","promoted user profile clicks","promoted url clicks","promoted hashtag clicks","promoted detail expands","promoted permalink clicks","promoted app opens","promoted app installs","promoted follows","promoted email tweet","promoted dial phone","promoted media views","promoted media engagements"
"2021-05-08","22","96461","4852","0.0503001212925431","39","31","353","356","471","0","1022","0","0","0","0","0","0","5128","2580","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-05-09","10","60573","2774","0.045795981708021724","16","20","199","240","266","0","796","0","0","0","1","0","0","1435","1236","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-05-10","6","62905","1289","0.020491216914394723","34","12","193","187","125","0","382","0","0","0","0","0","0","3606","356","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-05-11","4","57473","1367","0.023785081690532946","25","15","187","226","282","0","599","0","0","0","1","0","0","169","32","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-05-12","8","33428","1397","0.041791312672011485","15","7","182","152","116","0","350","0","0","0","0","0","0","612","575","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-05-13","8","45855","1172","0.025558826736451858","35","7","162","135","223","0","472","0","0","0","0","0","0","166","138","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-05-14","9","62262","2307","0.03705309819793775","32","18","263","186","216","0","478","0","0","0","0","0","0","1133","1114","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-05-15","10","41964","905","0.021566104279858927","19","16","123","87","147","0","253","0","0","0","0","0","0","270","260","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-05-16","2","9507","316","0.03323866624592406","31","4","45","35","47","0","84","0","0","0","0","0","0","75","70","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-05-17","11","57645","1098","0.01904761904761905","18","9","81","75","241","0","344","0","0","0","0","0","0","334","330","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-05-18","7","35299","1026","0.02906597920620981","14","7","85","52","133","0","182","0","0","0","0","0","0","553","553","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-05-19","3","8569","329","0.038394211693313106","7","3","35","28","25","0","102","0","0","0","0","0","0","131","129","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-05-20","2","35380","971","0.02744488411531939","8","5","32","43","44","0","125","0","0","0","0","0","0","716","714","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-05-21","7","5962","341","0.05719557195571956","18","3","44","33","24","0","53","0","0","0","0","0","0","216","166","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-05-22","4","29269","712","0.02432607878642933","16","4","66","52","85","0","171","0","0","0","0","0","0","338","318","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-05-23","2","15166","158","0.010418040353422128","4","1","16","21","53","0","28","0","0","0","0","0","0","60","35","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-05-24","6","22232","538","0.0241993522849946","8","3","42","37","13","0","92","0","0","0","0","0","0","345","343","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-05-25","7","13057","662","0.05070077353143908","21","11","96","63","36","0","140","0","0","0","0","0","0","298","295","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-05-26","11","13780","572","0.04150943396226415","18","5","130","50","41","0","149","0","0","0","0","0","0","181","179","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-05-27","6","20623","759","0.036803568830916934","11","4","110","57","12","0","212","0","0","0","0","0","0","356","353","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-05-28","15","86984","2384","0.02740733928078727","28","14","221","212","34","0","587","0","0","0","1","0","0","3690","1287","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-05-29","6","40023","1120","0.027983909252179997","26","11","157","104","32","0","261","0","0","0","0","0","0","1382","529","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-05-30","6","18151","1032","0.05685637154977687","9","7","79","49","47","0","214","0","0","0","0","0","0","683","627","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-05-31","10","22393","773","0.03451971598267316","14","9","100","79","189","1","325","0","0","0","0","0","0","89","56","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-06-01","8","48698","1420","0.029159308390488317","21","19","187","167","189","0","469","0","0","0","0","0","0","394","368","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-06-02","7","50351","1475","0.029294353637464996","20","40","144","165","326","0","637","0","0","0","0","0","0","158","143","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-06-03","9","22209","770","0.03467062902426944","25","9","107","52","196","0","245","0","0","0","0","0","0","138","136","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-06-04","20","23993","1821","0.07589713666486059","38","73","219","66","155","3","490","0","0","0","0","0","0","841","777","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-06-05","3","24739","1002","0.04050284975140467","26","13","132","72","96","3","295","0","0","0","0","0","0","943","365","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-06-06","3","13225","422","0.03190926275992439","7","6","36","44","127","0","118","0","0","0","0","0","0","220","84","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-06-07","4","7776","288","0.037037037037037035","10","3","66","35","21","0","123","0","0","0","0","0","0","58","30","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
