interval_start_timestamp,days_in_guild,muters
2021-06-07T00:00:00+00:00,'Existing Members',45
2021-06-07T00:00:00+00:00,'New Members',12
2021-06-14T00:00:00+00:00,'Existing Members',30
2021-06-14T00:00:00+00:00,'New Members',11
2021-06-21T00:00:00+00:00,'Existing Members',39
2021-06-21T00:00:00+00:00,'New Members',11
2021-06-28T00:00:00+00:00,'Existing Members',29
2021-06-28T00:00:00+00:00,'New Members',17
2021-07-05T00:00:00+00:00,'Existing Members',20
2021-07-05T00:00:00+00:00,'New Members',11
2021-07-12T00:00:00+00:00,'Existing Members',33
2021-07-12T00:00:00+00:00,'New Members',6
2021-07-19T00:00:00+00:00,'Existing Members',26
2021-07-19T00:00:00+00:00,'New Members',12
2021-07-26T00:00:00+00:00,'Existing Members',34
2021-07-26T00:00:00+00:00,'New Members',12
2021-08-02T00:00:00+00:00,'Existing Members',29
2021-08-02T00:00:00+00:00,'New Members',10
2021-08-09T00:00:00+00:00,'Existing Members',32
2021-08-09T00:00:00+00:00,'New Members',4
2021-08-16T00:00:00+00:00,'Existing Members',19
2021-08-16T00:00:00+00:00,'New Members',11
2021-08-23T00:00:00+00:00,'Existing Members',44
2021-08-23T00:00:00+00:00,'New Members',16
2021-08-30T00:00:00+00:00,'Existing Members',45
2021-08-30T00:00:00+00:00,'New Members',23
2021-09-06T00:00:00+00:00,'Existing Members',46
2021-09-06T00:00:00+00:00,'New Members',15
2021-09-13T00:00:00+00:00,'Existing Members',49
2021-09-13T00:00:00+00:00,'New Members',36
2021-09-20T00:00:00+00:00,'Existing Members',50
2021-09-20T00:00:00+00:00,'New Members',39