interval_start_timestamp,total_membership
2021-06-07T00:00:00+00:00,5298
2021-06-14T00:00:00+00:00,4871
2021-06-21T00:00:00+00:00,5054
2021-06-28T00:00:00+00:00,5131
2021-07-05T00:00:00+00:00,5283
2021-07-12T00:00:00+00:00,5498
2021-07-19T00:00:00+00:00,5655
2021-07-26T00:00:00+00:00,5950
2021-08-02T00:00:00+00:00,6229
2021-08-09T00:00:00+00:00,6422
2021-08-16T00:00:00+00:00,6581
2021-08-23T00:00:00+00:00,6833
2021-08-30T00:00:00+00:00,7166
2021-09-06T00:00:00+00:00,7476
2021-09-13T00:00:00+00:00,8120
2021-09-20T00:00:00+00:00,9173