interval_start_timestamp,visitors,pct_communicated
2021-06-07T00:00:00+00:00,1820,19.12087912087912
2021-06-14T00:00:00+00:00,1778,17.77277840269966
2021-06-21T00:00:00+00:00,1883,15.613382899628252
2021-06-28T00:00:00+00:00,1654,15.840386940749696
2021-07-05T00:00:00+00:00,1592,17.587939698492466
2021-07-12T00:00:00+00:00,1733,18.234275822273517
2021-07-19T00:00:00+00:00,1684,19.536817102137764
2021-07-26T00:00:00+00:00,1701,16.519694297472075
2021-08-02T00:00:00+00:00,2059,13.598834385624087
2021-08-09T00:00:00+00:00,1741,17.403790924755885
2021-08-16T00:00:00+00:00,1719,18.557300756253635
2021-08-23T00:00:00+00:00,2209,19.601629696695333
2021-08-30T00:00:00+00:00,2274,19.744942832014075
2021-09-06T00:00:00+00:00,2094,20.391595033428846
2021-09-13T00:00:00+00:00,2750,21.854545454545455
2021-09-20T00:00:00+00:00,3165,18.704581358609797