interval_start_timestamp,speaking_minutes
2021-06-07T00:00:00+00:00,2149
2021-06-14T00:00:00+00:00,2475
2021-06-21T00:00:00+00:00,2980
2021-06-28T00:00:00+00:00,2479
2021-07-05T00:00:00+00:00,2678
2021-07-12T00:00:00+00:00,2556
2021-07-19T00:00:00+00:00,2755
2021-07-26T00:00:00+00:00,3016
2021-08-02T00:00:00+00:00,2864
2021-08-09T00:00:00+00:00,2795
2021-08-16T00:00:00+00:00,4118
2021-08-23T00:00:00+00:00,6957
2021-08-30T00:00:00+00:00,6374
2021-09-06T00:00:00+00:00,5413
2021-09-13T00:00:00+00:00,5788
2021-09-20T00:00:00+00:00,6346