,0
0,Community Manager
1,Community Manager
2,Community Manager
3,Community Manager
4, UI/UX Designer
5,Community Manager
6,Community Manager
7, Twitter Meme Lord
8,Community Manager
9, Translator - Chinese
10,Community Manager
11,Community Manager
12,Community Manager
13,Community Manager
14, Translator - Portuguese
15,Community Manager
16,Creative (e.g.
17, graphic design or NFT creation)
18, Translator - Korean
19,Community Manager
20,Twitter Meme Lord
21,Twitter Meme Lord
22,Twitter Meme Lord
23,Twitter Meme Lord
24,Writer
25,Writer
26,Writer
27,Writer
28,Writer
29,Writer
30,Writer
31,Writer
32,Data Analytics
33, Writer
34,Writer
35,Research Analyst
36,Research Analyst
37,Research Analyst
38,Product Management
39,Product Management
40,Frontend Dev
41,Frontend Dev
42,Frontend Dev
43,Frontend Dev
44,Frontend Dev
45,Ethereum Dev
46, Frontend Dev
47,Backend Dev
48, Frontend Dev
49,Creative (e.g.
50, graphic design or NFT creation)
51,Creative (e.g.
52, graphic design or NFT creation)
53,Creative (e.g.
54, graphic design or NFT creation)
55,Backend Dev
56, Ethereum Dev
57,Government and Regulatory Affairs
58,Government and Regulatory Affairs
59,Data Analytics
60, Translator - Spanish
61,Translator - Spanish
62,Translator - Spanish
63,Translator - Vietnamese
64,Data Analytics
65, Writer
66,Community Manager
67, Product Management
68, Research Analyst
69, Writer
70, Marketing
71,Data Analytics
72, Research Analyst
73, Business Development - DAOs
74,Security & Ops Management
75,Grateful Participant
76,Translator - Italian
77,Translator french (important for France and French Canada)
78,Translator - Italian
79,Frontend Dev
80, Product Management
81,Product Management
82, Translator - italian
83,Product Management
84,Government and Regulatory Affairs
85, Product Management
86,Data Analytics
87, Research Analyst
88,Translator - Spanish
89, Writer
90, Strategy
91, Business Development
92, Investor Relations 
93,Translator - Spanish
94, Writer
95,Research Analyst
96,Backend Dev
97, Ethereum Dev
98, Frontend Dev
99, Writer
100,Creative (e.g.
101, graphic design or NFT creation)
102, Research Analyst
103, Translator - German
104,Research Analyst
105, Translator - Spanish
106, Writer
107,puedo entrar solo para aprender?
108,Community Manager
109, Creative (e.g.
110, graphic design or NFT creation)
111, Twitter Meme Lord
112, UI/UX Designer
113,Backend Dev
114, Ethereum Dev
115,Data Analytics
116, Research Analyst
117, Translator - Spanish
118,Creative (e.g.
119, graphic design or NFT creation)
120,Translator - Spanish
121,Creative (e.g.
122, graphic design or NFT creation)
123, Tester. Integrations Headhunter. 
124,Editor
125,Community Manager
126, Product Management
127, Writer
128,Backend Dev
129, Data Analytics
130, Translator - Vietnamese
131,Community Manager
132, Creative (e.g.
133, graphic design or NFT creation)
134,Creative (e.g.
135, graphic design or NFT creation)
136, UI/UX Designer
137, Musician
138,Translator - Chinese
139,open to recommendations on how I can help
140,Research Analyst
141, Writer
142,Creative (e.g.
143, graphic design or NFT creation)
144, UI/UX Designer
145, Musician
146, Strategist
147,Backend Dev
148, Research Analyst
149, Translator - Spanish
150,Creative (e.g.
151, graphic design or NFT creation)
152, Twitter Meme Lord
153,Creative (e.g.
154, graphic design or NFT creation)
155, Product Management
156, UI/UX Designer
157,Product Management
158, Translator - Spanish
159,Data Analytics
160,Community Manager
161, Data Analytics
162, Translator Arabic
163,Community Manager
164, Marketer  My influencer 
165,Research Analyst
166, Translator - Chinese
167,Translator - Spanish
168,Product Management
169,Community Manager
170, Translator - Chinese
171,Translator - French
172,Research Analyst
173, Writer
174, Management consultant currently; willing to help on all things strategy
175,Translator - Spanish
176, Writer
177, Traslator italian 
178,Chinese Channel Manager
179,Community Manager
180, Team coordinator 
181,Product Management
182, UI/UX Designer
183,Backend Dev
184, Data Analytics
185, Ethereum Dev
186, Product Management
187, Research Analyst
188,Writer
189,Community Manager
190, Government and Regulatory Affairs
191, Product Management
192, Research Analyst
193,Research Analyst
194, Russian translator
195,Audio & Video Editing. Audio restoration or enhancement etc.
196,Backend Dev
197, Community Manager
198, Ethereum Dev
199, Frontend Dev
200, Research Analyst
201, Writer
202,Community Manager
203, Research Analyst
204, Writer
205,Data Analytics
206, Writer
207,Creative (e.g.
208, graphic design or NFT creation)
209, Writer
210, Translator - German - if needed
211,Community Manager
212, Government and Regulatory Affairs
213, Writer
214,Community Manager
215,Creative (e.g.
216, graphic design or NFT creation)
217,Creative (e.g.
218, graphic design or NFT creation)
219, Frontend Dev
220, UI/UX Designer
221,Community Manager
222, Translator - Chinese
223, Writer
224,Community Manager
225, Product Management
226, Research Analyst
227, Writer
228,Writer
229,Community Manager
230, Research Analyst
231,Frontend Dev
232,Community Manager
233, Product Management
234, Writer
235, Market studies
236, studying actors/competition
237, creating excel models
238,Research Analyst
239, Writer
240,Research Analyst
241,Community Manager
242, Research Analyst
243, Writer
244,Community Manager
245, Creative (e.g.
246, graphic design or NFT creation)
247, Product Management
248, Writer
249, 3D Animator
250,Community Manager
251, Creative (e.g.
252, graphic design or NFT creation)
253, Product Management
254, Research Analyst
255, Writer
256,Ethereum Dev
257, Frontend Dev
258,Research Analyst
259, Writer
260,Community Manager
261, Twitter Meme Lord
262,Creative (e.g.
263, graphic design or NFT creation)
264, Data Analytics
265, Ethereum Dev
266, Product Management
267, Research Analyst
268, Translator - Spanish
269,Creative (e.g.
270, graphic design or NFT creation)
271, Data Analytics
272, Writer
273, education services in local communities.
274,Creative (e.g.
275, graphic design or NFT creation)
276, UI/UX Designer
277,Product Management
278, Writer
279, Translator - German
280,Creative (e.g.
281, graphic design or NFT creation)
282, UI/UX Designer
283,Creative (e.g.
284, graphic design or NFT creation)
285, PR & Event Production
286,Community Manager
287, Translator - Chinese
288,Data Analytics
289, Translator - Spanish
290, Writer
291,Twitter Meme Lord
292, Writer
293,Backend Dev
294, Data Analytics
295, Ethereum Dev
296, Frontend Dev
297,Writer
298,Backend Dev
299, Ethereum Dev
300,Creative (e.g.
301, graphic design or NFT creation)
302, Translator - Korean
303, Twitter Meme Lord
304, Writer
305, Translator - Dutch
306,Community Manager
307, Creative (e.g.
308, graphic design or NFT creation)
309, Daoist
310,Data Analytics
311, Government and Regulatory Affairs
312, Research Analyst
313,Data Analytics
314, Research Analyst
315,Creative (e.g.
316, graphic design or NFT creation)
317, Data Analytics
318, Government and Regulatory Affairs
319, Product Management
320, Research Analyst
321, Writer
322,Backend Dev
323, Data Analytics
324, Software Security
325,Research Analyst
326, Writer
327,Ethereum Dev
328, Writer
329,Community Manager
330, Ethereum Dev
331, Translator - Chinese
332, Twitter Meme Lord
333,Community Manager
334, Writer
335,Research Analyst
336, Translator - Chinese
337, Writer
338,Backend Dev
339, Creative (e.g.
340, graphic design or NFT creation)
341, Writer
342,Translator - Chinese
343,Translator - Persian (Farsi) & Marketing Consultant
344,Creative (e.g.
345, graphic design or NFT creation)
346, UI/UX Designer
347,Community Manager
348, Real world finance
349,Community Manager
350, Creative (e.g.
351, graphic design or NFT creation)
352, Product Management
353, Research Analyst
354, Writer
355, Translator - German
356,Backend Dev
357, Data Analytics
358, algorithmic trade
359,Translator - Spanish
360,Translator - Spanish
361,Creative (e.g.
362, graphic design or NFT creation)
363, Data Analytics
364, Writer
365, Translator Italian
366,Creative (e.g.
367, graphic design or NFT creation)
368, Government and Regulatory Affairs
369,Data Analytics
370, Translator - Spanish
371,Translator - Spanish
372,Micro pre-seed-investor
373,Community Manager
374, Research Analyst
375, Writer
376,Creative (e.g.
377, graphic design or NFT creation)
378, Translator - Spanish
379,Backend Dev
380, Data Analytics
381, Product Management
382,Data Analytics
383, Research Analyst
384,Backend Dev
385, Frontend Dev
386,Ethereum Dev
387,Backend Dev
388, Ethereum Dev
389, Frontend Dev
390, Research Analyst
391, Translator - Turkish
392,Community Manager
393, Creative (e.g.
394, graphic design or NFT creation)
395, Research Analyst
396, Translator - Vietnamese
397,Data Analytics
398, Writer
399,Translator - Polish
400,Government and Regulatory Affairs
401, Research Analyst
402, Business Development Roles 
403,Backend Dev
404, Ethereum Dev
405, Learning
406,Government and Regulatory Affairs
407, Research Analyst
408, Writer
409, Working in a mainstream bank
410,Community Manager
411, Government and Regulatory Affairs
412, Research Analyst
413, Translator - Spanish
414,Translator - Vietnamese
415,Backend Dev
416, Frontend Dev
417,Translator - Korean
418,Creative (e.g.
419, graphic design or NFT creation)
420, Writer
421, Marketing/PR
422,Data Analytics
423, Product Management
424, Research Analyst
425, Writer
426,Translator - Portuguese
427, Translator - Vietnamese
428, Writer
429, marketing
430, communications
431, branding
432, advertising
433, (mass consumer / boomer stuff)
434,Frontend Dev
435, UI/UX Designer
436, Information security
437,Backend Dev
438, Community Manager
439, Data Analytics
440, Government and Regulatory Affairs
441, Research Analyst
442,Translator - Spanish
443,Community Manager
444, Product Management
445, Research Analyst
446, Project Management
447,Community Manager
448, Product Management
449, Research Analyst
450, Business Development
451, Partnerships
452,Backend Dev
453, Data Analytics
454, Ethereum Dev
455, Frontend Dev
456, UI/UX Designer
457,Writer
458, Marketer - google SEO
459, content promotion / outreach
460,Translator - Chinese
461,DAO Governance Innovator/Documentarian
462,Product Management
463, Translator - Spanish
464, Writer
465,Product Management
466,Backend Dev
467, Frontend Dev
468,Data Analytics
469, Product Management
470, Translator - Chinese
471,DAO Governance project manager/supervisor
472,Product Management
473,Data Analytics
474, Research Analyst
475, Writer
476, Business development
477,Writer
478,Product Management
479,Government and Regulatory Affairs
480, Writer
481, Technical Support (Australian Taxation)
482,Backend Dev
483, Community Manager
484, Ethereum Dev
485, Frontend Dev
486, Government and Regulatory Affairs
487, Twitter Meme Lord
488, UI/UX Designer
489,Backend Dev
490, Creative (e.g.
491, graphic design or NFT creation)
492, Frontend Dev
493, Twitter Meme Lord
494, Writer
495,Government and Regulatory Affairs
496, Translator - Spanish
497,Community Manager
498, Data Analytics
499, Research Analyst
500, Twitter Meme Lord
501, General assistance
502,Research Analyst
503, Translator - Chinese
504, Writer
505,Product Management
506, Research Analyst
507,Backend Dev
508, Frontend Dev
509,Backend Dev
510, Ethereum Dev
511, Frontend Dev
512, Product Management
513,Frontend Dev
514,Research Analyst
515, Writer
516,UI/UX Designer
517, Writer
518, Marketing/business
519,Translator - Portuguese
520,Community Manager
521, Data Analytics
522, Research Analyst
523,Community Manager
524, Creative (e.g.
525, graphic design or NFT creation)
526, Product Management
527,Backend Dev
528, Ethereum Dev
529, Research Analyst
530,Backend Dev
531, Community Manager
532, Data Analytics
533, Frontend Dev
534, Product Management
535, Writer
536,Product Management
537, Writer
538,Frontend Dev
539, Product Management
540,Frontend Dev
541, Product Management
542,Creative (e.g.
543, graphic design or NFT creation)
544, social media
545, marketing
546, PR
547, publicity
548,Backend Dev
549, Frontend Dev
550, UI/UX Designer
551,Backend Dev
552, Data Analytics
553, Ethereum Dev
554,Backend Dev
555, Community Manager
556, Creative (e.g.
557, graphic design or NFT creation)
558, Frontend Dev
559, Product Management
560, Research Analyst
561, Writer
562,Creative (e.g.
563, graphic design or NFT creation)
564,Community Manager
565, Data Analytics
566, Product Management
567, Translator - Chinese
568, CFA Finance background
569,Community Manager
570, Data Analytics
571, Translator - Chinese
572, CFA Finance background
573,Backend Dev
574, Ethereum Dev
575, Frontend Dev
576, Product Management
577, Translator - Spanish
578, Writer
579,Community Manager
580, Creative (e.g.
581, graphic design or NFT creation)
582, Product Management
583, Twitter Meme Lord
584,Data Analytics
585,Backend Dev
586, Community Manager
587, Product Management
588, Liaison
589,Creative (e.g.
590, graphic design or NFT creation)
591,Product Management
592,Writer
593, SEO
594,Community Manager
595, Translator - Vietnamese
596,Backend Dev
597,Backend Dev
598, Ethereum Dev
599, Frontend Dev
600,Creative (e.g.
601, graphic design or NFT creation)
602,Community Manager
603, Translator - Spanish
604,Product Management
605,Backend Dev
606, Community Manager
607, Product Management
608, Research Analyst
609,Product Management
610,Backend Dev
611, Ethereum Dev
612, Frontend Dev
613, Writer
614,Community Manager
615, Translator - Spanish
616,Backend Dev
617, Creative (e.g.
618, graphic design or NFT creation)
619, Ethereum Dev
620, Frontend Dev
621, Writer
622, Visual Effects/3D Work
623,Product Management
624,Data Analytics
625, Product Management
626,Community Manager
627, Community administrator
628,Community Manager
629, Data Analytics
630, Government and Regulatory Affairs
631,Data Analytics
632, Ethereum Dev
633, Research Analyst
634,Writer
635,Community Manager
636, Government and Regulatory Affairs
637, Research Analyst
638,Data Analytics
639, Product Management
640,Community Manager
641, Product Management
642, Translator - Spanish
643,Backend Dev
644, Creative (e.g.
645, graphic design or NFT creation)
646, Data Analytics
647, Ethereum Dev
648, Translator - Spanish
649, Writer
650,Backend Dev
651, Frontend Dev
652,Research Analyst
653, I am good at reviewing existing work/ideas and providing constructive feedback.
654,Data Analytics
655, Frontend Dev
656, Product Management
657, Research Analyst
658, Email Developer
659,Creative (e.g.
660, graphic design or NFT creation)
661, Data Analytics
662, Research Analyst
663, Writer
664,Backend Dev
665, Data Analytics
666, Ethereum Dev
667, Frontend Dev
668, UI/UX Designer
669,Backend Dev
670, Ethereum Dev
671, Frontend Dev
672,Community Manager
673, Product Management
674, UI/UX Designer
675, Not sure where my talents might be useful
676,Community Manager
677, Data Analytics
678, Writer
679,Backend Dev
680, Community Manager
681, Frontend Dev
682, Product Management
683, Research Analyst
684, Writer
685,Creative (e.g.
686, graphic design or NFT creation)
687,Frontend Dev
688,Backend Dev
689,Backend Dev
690, Data Analytics
691, Ethereum Dev
692, Product Management
693, Twitter Meme Lord
694, UI/UX Designer
695,Data Analytics
696, Product Management
697, Project Management
698,Community Manager
699, Product Management
700, Research Analyst
701,Writer
702, Token Engineer 
703,Community Manager
704, Government and Regulatory Affairs
705, Product Management
706, Writer
707, I am a corporate strategist specializing in growing technology companies. 
708,Backend Dev
709, Data Analytics
710, Frontend Dev
711,Backend Dev
712, Frontend Dev
713,Legal 
714,Research Analyst
715, Writer
716,Translator - Spanish
717,Government and Regulatory Affairs
718, Investor Relations
719,Backend Dev
720, Creative (e.g.
721, graphic design or NFT creation)
722, Data Analytics
723, Ethereum Dev
724, Frontend Dev
725, UI/UX Designer
726,Community Manager
727, Creative (e.g.
728, graphic design or NFT creation)
729, Research Analyst
730, Twitter Meme Lord
731, UI/UX Designer
732, Writer
733,Data Analytics
734, Translator - Spanish
735,Writer
736,Translator - Portuguese
737, Legal and Regulatory affairs at Brazil.
738,Research Analyst
739,Creative (e.g.
740, graphic design or NFT creation)
741,Backend Dev
742, Data Analytics
743,Data Analytics
744, Research Analyst
745, Writer
746, Team leader
747,Backend Dev
748, Frontend Dev
